timestamp,model_combination,recipe,experiment_file,classification,agent_0_role,agent_1_role,success_reason,num_interactions,num_sampled,processing_time_seconds
2025-08-21T00:27:05.436521,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_11-18-07_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,91,18,20.38579750061035
2025-08-21T00:27:24.766090,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_11-26-05_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,33,18,17.325647115707397
2025-08-21T00:27:57.209059,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_12-05-50_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,97,18,30.43937063217163
2025-08-21T00:28:28.317297,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_11-29-36_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,98,18,29.10373592376709
2025-08-21T00:29:06.750311,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_11-57-25_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,51,18,36.42766213417053
2025-08-21T00:29:48.259164,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_10-56-04_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,clear_hierarchy,1,0,No reason provided,180,18,39.5043408870697
2025-08-21T00:30:42.850353,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_12-03-27_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,21,18,52.586609840393066
2025-08-21T00:31:21.978227,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_11-40-05_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,147,18,37.1232635974884
2025-08-21T00:31:47.344360,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_10-46-26_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,77,18,23.361237049102783
2025-08-21T00:32:37.073185,Qwen_Qwen3-14B_Qwen_Qwen3-4B,baked_pumpkin_slices,experiment_2025-08-19_10-39-41_player0_Qwen_Qwen3-14B_player1_Qwen_Qwen3-4B_baked_pumpkin_slices.json,fuzzy_hierarchy,0,0,No reason provided,59,18,47.72392249107361
